id	ER-ATH-ERR1084765	ER-ATH-ERR1084764	ER-NOD-ERR1084806	ER-NOD-ERR1084805	TN-ATH-ERR1084766	TN-ATH-ERR1084768	TN-NOD-ERR1084799	TN-NOD-ERR1084798
ENSG00000001630	0	0	0	0	0	0	0	0
ENSG00000001631	1.84195	0	0	0	0	0	0	0
ENSG00000002834	9.62664	9.63534	9.99148	8.93916	8.47874	6.67937	9.00678	9.36042
ENSG00000003402	1.05765	0	0	0	0	0.288159	0.0537453	0.499162
ENSG00000003436	0	0	0	0.507206	0	0	0.0909436	0.644542
ENSG00000003509	0	0	0	0	0	0	0	0
ENSG00000004961	7.3161	7.11399	5.8873	6.97645	7.68596	6.19718	7.66572	5.6204
ENSG00000005073	0	0	0	1.57266	6.41045	7.21193	2.17808	1.59218
ENSG00000005102	0	0	0	0.943726	4.41298	0.826241	4.68023	2.38608
ENSG00000005339	0	0	0	0	0	0	0	0
ENSG00000005421	0	0	4.98634	2.01011	3.77911	2.98178	0	2.04004
ENSG00000005801	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0
ENSG00000006016	0	0	0	0	0	2.35162	0	0
ENSG00000006468	4.25873	3.79464	3.39051	3.02026	4.56537	4.3627	0.31852	2.10746
ENSG00000006555	0	0	0	0	0	0	0.334298	0
ENSG00000006607	1.62211	0	0	0	0.554976	0	0	0
ENSG00000006634	6.84143	6.55162	7.113	7.09209	8.38115	7.12486	7.23326	6.99626
ENSG00000006638	0	0	1.2006	1.12676	0	0	0	0
ENSG00000006756	1.97112	2.96566	0	1.60947	0	0	0	0
ENSG00000007392	0	0	0	0	0.786254	0	0	0
ENSG00000007908	2.63474	0	0	0	3.57972	2.28117	2.14381	2.00015
ENSG00000008056	0	0	0.731744	0	0	0	0	0
ENSG00000008283	0	1.92763	0	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0
ENSG00000008988	0	0	1.17985	0	2.08298	0	0	0
ENSG00000009335	0	0	0	0	0	0	0	0
ENSG00000009413	0	0	1.60572	2.04004	2.03318	1.92344	0.54739	2.45995
ENSG00000009765	0	0	0	1.56132	0	0	0	0
ENSG00000009950	0	0	0	0.994546	0	0	0.710736	0
ENSG00000010404	0	1.41821	0	0.661171	0.177949	0	0	0.49151
ENSG00000010610	4.63498	4.16158	1.29126	4.45131	8.12899	4.87108	4.64505	4.17767
ENSG00000011132	0	0	0	0	0	0	0	0
ENSG00000011243	0	0	0	0	1.78839	0	0	0
ENSG00000011275	0	2.76031	0	0	0	0	0	0
ENSG00000011295	0	0	0	0	0	0	0	0
ENSG00000011454	0	0	0	0	0	0	0	0
ENSG00000011478	0	0	1.19633	0	0	0.921757	0	0
ENSG00000011638	0	0	0	1.2648	0	0	0	0
ENSG00000012232	0	0	0	0	0	0	0	0
ENSG00000012779	1.92344	0	0	6.26302	5.10376	3.77194	4.75665	3.75543
ENSG00000013306	0	0	0	0	0	0	0	0
ENSG00000013364	0	0	0	0	0	1.44027	0	0
ENSG00000014138	2.00015	1.79665	0.664915	0	0	0	0	0.293254
ENSG00000015479	0	0	0	0	0	0	0	0
ENSG00000016082	0	0	0	0	4.97114	3.26018	0	0
ENSG00000018610	0	0	0	0	0	0	0	0
ENSG00000019144	0	0	0	0	0	1.22602	0	0
ENSG00000021355	0	0	0	0	0	0.618234	0	0
ENSG00000022267	0	0	0	0	6.02354	0	3.80779	3.49991
ENSG00000022840	0	0	1.93532	0	0	0	0	0
ENSG00000022976	0	0	0.976743	0	0	0	0	0
ENSG00000026751	0	0	0	0	0.711732	0	0	0
ENSG00000028203	0	0	0	0.842667	0	0	0	0
ENSG00000033170	3.54011	0	0	0	0	0	0	0
ENSG00000035664	0	0	2.43654	0	0	0	0	0
ENSG00000037757	7.92904	8.05623	6.88995	7.17262	6.6516	8.00937	7.38582	7.74535
ENSG00000038210	0	0	0	2.66748	0.406484	0.915297	0	1.05765
ENSG00000039068	0	0	0	0	0	0	0	0
ENSG00000039319	0	0	0	0	0	0.353889	0.772884	0.187515
ENSG00000044115	0	2.86286	0	0	0	0	0	0
